id;nom;prenom;ville;email;telephone;specialite_id;structure_id;rpps_id;organisation;accepte_nouveau_patient;titre
4305f5e9-be5a-4ccf-8792-7e07d7017363;Radio Plus;Cabinet;Nancy;radio.plus@sante.fr;03 43 56 65 54;2;e65145bb-ce57-4320-b0a8-6c0ba06def6d;;true;true;Cab.
af7bb2f1-cc52-3388-b9bc-c0b89e7f4c5b;Paul;Marine;Paris;Marine.Paul@hotmail.fr;02 36 11 25 88;1;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;98537711172;false;true;Dr.
b994a36f-794f-3ddc-b267-99673661466d;Guichard;Laurence;Paris;Laurence.Guichard@club-internet.fr;+33 8 99 14 03 98;1;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;41489857901;false;true;Dr.
8236bcbf-4c06-3d0e-8ab0-c4964e02c4ea;Pichon;Arnaude;Paris;Arnaude.Pichon@yahoo.fr;06 61 50 63 81;4;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;47075706032;false;true;Dr.
8ae1400f-d46d-3b50-b356-269f776be532;Klein;Gabrielle;Paris;Gabrielle.Klein@live.com;+33 (0)3 90 27 98 80;1;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;90028646751;false;true;Dr.
085c44e7-6245-3b10-9c1a-92f09524ef2a;Gallet;Valérie;Paris;Valrie.Gallet@dbmail.com;+33 (0)9 29 33 51 05;2;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;08869616497;false;true;Dr.
dada1285-f235-3ad2-bd7d-f58d68c30a73;Goncalves;Noël;Paris;Nol.Goncalves@free.fr;+33 5 82 74 18 66;2;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;69525780948;false;true;Dr.
51c6c5a5-0815-3ff1-b0e4-ac216319e526;Besson;Aurélie;Joubert;Aurlie.Besson@gmail.com;+33 (0)3 76 13 23 05;3;372c1de7-4d31-3d01-9c92-77e69467d4e3;03633699723;false;true;Dr.
592692c8-4a8c-3f91-967b-fde67ebea54d;Costa;Marc;Joubert;Marc.Costa@wanadoo.fr;+33 1 42 89 11 30;3;372c1de7-4d31-3d01-9c92-77e69467d4e3;26675175554;false;true;Dr.
0768e78b-12c8-3694-b89b-d0a7451a8fb1;Descamps;Alexandria;Joubert;Alexandria.Descamps@club-internet.fr;+33 (0)1 75 74 98 33;4;372c1de7-4d31-3d01-9c92-77e69467d4e3;79003481902;false;true;Dr.
f9bd589a-99ef-39f7-9984-af26e95c7150;Roger;Philippine;Diaz-sur-Boulanger;Philippine.Roger@hotmail.fr;0815977032;5;255ecef6-14b9-3b5c-a40e-901665f4ed28;37085473119;false;true;Dr.
bdd2672d-f4e6-3fd1-88db-d27e97b4d1e0;Martel;Denise;Diaz-sur-Boulanger;Denise.Martel@tele2.fr;+33 1 57 80 28 75;2;255ecef6-14b9-3b5c-a40e-901665f4ed28;81555292256;false;true;Dr.
7c76c93d-1b70-35eb-96d5-34c2d9d741c4;Marchand;Suzanne;Diaz-sur-Boulanger;Suzanne.Marchand@sfr.fr;+33 (0)2 83 66 69 68;4;255ecef6-14b9-3b5c-a40e-901665f4ed28;89071319926;false;true;Dr.
